Label,Characteristic,Year,total_fatal_injuries,total_hours_worked,fatal_injury_rate
Occ,Landscaping services,2011,171,"2,118",15.6
Occ,Waste management and remediation services ,2011,67,797,16.8
Ind,Educational and health services,2011,154,"38,114",0.8
Occ,Educational services,2011,37,"7,156",1
,Health care and social assistance,2011,117,"30,944",0.7
Occ,Ambulatory health care services,2011,56,"11,711",0.9
Occ,Hospitals ,2011,16,"10,263",0.3
Occ,Nursing and residential care facilities,2011,20,"4,309",0.9
Occ,Social assistance,2011,23,"4,658",0.9
Ind,Leisure and hospitality,2011,231,"20,003",2.2
,"Arts, entertainment, and recreation",2011,93,"4,132",3.9
Occ,"Performing arts, spectator sports, and related industries",2011,48,"1,289",6.5
Occ,"Amusement, gambling, and recreation industries (except bowling centers)  ",2011,39,"2,543",2.7
,Accommodation and food services,2011,138,"15,872",1.7
,Accommodation ,2011,33,"2,529",2.6
Occ,Traveler accommodation ,2011,23,"2,354",2
,Food services and drinking places,2011,105,"13,357",1.6
Occ,Restaurants and other food services ,2011,74,"13,010",1.1
Occ,Drinking places (alcoholic beverages),2011,31,344,18
Ind,Other services (except public administration),2011,183,"11,603",3
,Repair and maintenance,2011,102,"3,815",5.3
Occ,Automotive repair and maintenance (except car washes),2011,61,"2,250",5.4
Occ,Personal and laundry services,2011,46,"3,656",2.5
Occ,"Religious, grantmaking, civic, professional, and similar organizations",2011,30,"3,158",1.5
Ind,Government,2011,505,"37,345",2.2
Occ,Federal government,2011,98,"6,923",1.2
Occ,State government,2011,108,"11,353",1.9
Occ,Local government,2011,297,"19,096",2.8
