Label,Characteristic,Year,Characteristic_code,total_hours_worked,fatal_injury_rate,margin_of_error
,Professional and related occupations,2019,"15, 17, 19,  21, 23, 25, 27, 29","69,300",0.7,0.01
Occ,Computer and mathematical occupations,2019,15-0000,"10,600",0.3,0.01
Occ,Architecture and engineering occupations,2019,17-0000,"6,800",1.3,0.04
Occ,"Life, physical, and social science occupations",2019,19-0000,"2,800",1.1,0.06
Occ,Community and social service occupations,2019,21-0000,"5,100",1.2,0.04
Occ,Legal occupations,2019,23-0000,"4,000",0.5,0.03
Occ,Educational instruction and library occupations,2019,25-0000,"16,100",0.3,0.01
,"Arts, design, entertainment, sports, and media occupations",2019,27-0000,"5,700",1.3,0.05
Occ,"Athletes, coaches, umpires, and related workers",2019,27-2020,500,6.5,0.84
,Healthcare practitioners and technical occupations,2019,29-0000,"18,200",0.6,0.01
Occ,      Registered nurses,2019,29-1141,"5,900",0.6,0.02
Occ,                      Emergency medical technicians and paramedics,2019,29-2040,400,3.2,0.44
Ind,Service occupations,2019,"31, 33, 35, 37, 39","46,000",3.2,0.04
Occ,Healthcare support occupations,2019,31-0000,"6,600",1.1,0.04
,Protective service occupations,2019,33-0000,"6,400",6.7,0.27
Occ,Police and sheriff's patrol officers,2019,33-3051,"1,500",11.1,0.9
Occ,Security guards and gambling surveillance officers,2019,33-9030,"1,800",6.8,0.44
,Food preparation and serving related occupations,2019,35-0000,"13,300",1.5,0.04
Occ,Supervisors of food preparation and serving workers,2019,35-1010,"2,100",1.7,0.1
,Building and grounds cleaning and maintenance occupations,2019,37-0000,"9,800",6.7,0.2
Occ,"First-line supervisors of landscaping, lawn service, and groundskeeping workers",2019,37-1012,600,12.6,1.57
Occ,Janitors and building cleaners,2019,"37-2011, 37-2019","3,900",2.4,0.11
Occ,Grounds maintenance workers,2019,37-3010,"2,300",19.8,1.1
Occ,Personal care and service occupations,2019,39-0000,"9,800",1.2,0.04
Ind,Sales and office occupations,2019,"41, 43","60,300",1.1,0.01
,Sales and related occupations,2019,41-0000,"28,400",1.7,0.03
Occ,First-line supervisors of retail sales workers,2019,41-1011,"6,600",2.4,0.09
Occ,First-line supervisors of non-retail sales workers,2019,41-1012,"2,600",1.4,0.08
Occ,Cashiers (including gambling change persons and booth cashiers ),2019,41-2010,"4,600",2.2,0.09
Occ,Retail salespersons,2019,41-2031,"5,200",1.4,0.05
Occ,Office and administrative support occupations,2019,43-0000,"31,900",0.6,0.01
Ind,"Natural resources, construction, and maintenance occupations",2019,"45, 47, 49","28,600",12.4,0.24
,"Farming, fishing, and forestry occupations",2019,45-0000,"2,300",24.5,2.85
Occ,Miscellaneous agricultural workers,2019,45-2090,"1,700",19.8,2.77
Occ,Fishing and hunting workers,2019,45-3031,100,145,50.59
Occ,Logging workers,2019,45-4020,100,68.9,15.79
,Construction and extraction occupations,2019,47-0000,"16,400",12.9,0.31
Occ,First-line supervisors of construction trades and extraction workers,2019,47-1011,"1,500",18.7,1.44
Occ,Carpenters,2019,47-2031,"2,400",7.9,0.45
Occ,Construction laborers,2019,47-2061,"3,900",15,0.76
Occ,Operating engineers and other construction equipment operators,2019,47-2073,800,12.8,1.27
Occ,Electricians,2019,47-2111,"1,900",7.2,0.47
Occ,"Painters, construction and maintenance",2019,47-2141,"1,100",7.5,0.66
Occ,"Pipelayers, plumbers, pipefitters, and steamfitters",2019,47-2150,"1,300",6.1,0.47
Occ,Roofers,2019,47-2181,400,54,7
Occ,Structural iron and steel workers,2019,47-2221,100,26.3,6.3
Occ,"Helpers, construction trades",2019,47-3010,100,40,10.7
Occ,Other extraction workers,2019,"47-5051, 47-5099",100,14.3,3.99
,"Installation, maintenance, and repair occupations",2019,49-0000,"9,900",8.8,0.26
Occ,"First-line supervisors of mechanics, installers, and repairers",2019,49-1011,600,14.6,1.53
Occ,Automotive service technicians and mechanics,2019,49-3023,"1,800",6.8,0.47
Occ,Bus and truck mechanics and diesel engine specialists,2019,49-3031,700,7.7,0.81
Occ,"Heating, air conditioning, and refrigeration mechanics and installers",2019,49-9021,900,6.8,0.65
Occ,"Industrial machinery installation, repair, and maintenance workers",2019,49-9040,"1,000",6.4,0.54
Occ,Electrical power-line installers and repairers,2019,49-9051,300,13.3,2.35
Occ,Telecommunications line installers and repairers,2019,49-9052,400,7.8,1.18
Occ,"Maintenance and repair workers, general",2019,49-9071,"1,200",13.4,1.1
Ind,"Production, transportation, and material moving occupations",2019,"51, 53","36,600",9.4,0.17
,Production occupations,2019,51-0000,"17,200",2.8,0.08
Occ,First-line supervisors of production and operating workers,2019,51-1011,"1,800",2.6,0.18
Occ,"Welding, soldering, and brazing workers",2019,51-4120,"1,200",8.1,0.69
,Transportation and material moving occupations,2019,53-0000,"19,400",15.2,0.33
Occ,Aircraft pilots and flight engineers,2019,53-2010,300,61.8,11.31
Occ,Driver/sales workers and truck drivers,2019,53-3030,"7,500",26.8,0.97
Occ,"Shuttle drivers, chauffeurs, and taxi drivers",2019,"53-3053, 53-3054","1,400",8,0.65
Occ,Industrial truck and tractor operators,2019,53-7051,"1,200",7,0.62
Occ,"Laborers and freight, stock, and material movers, hand",2019,53-7062,"4,000",5,0.23
Occ,Refuse and recyclable material collectors,2019,53-7081,200,35.2,6.97
,,2019,,,,
,Industry8,2019,Industry code8,,,
,Private industry,2019,,"257,400",3.8,0.02
,Natural resources and mining9,2019,"11, 21","6,600",20.9,1.4
Ind,"Agriculture, forestry, fishing and hunting",2019,11,"4,900",23.1,1.97
Occ,Crop production  ,2019,111000,"2,500",17.4,1.96
Occ,Animal production and aquaculture,2019,112000,"1,600",22.2,2.5
Occ,Logging ,2019,113300,200,47.6,9.96
Occ,"Fishing, hunting, and trapping ",2019,114000,100,83.7,27.04
Occ,Support activities for agriculture and forestry ,2019,115000,400,30.1,6.74
Ind,"Mining, quarrying, and oil and gas extraction",2019,21,"1,700",14.6,1.75
Occ,Oil and gas extraction ,2019,211000,200,19.3,4.26
,Mining (except oil and gas),2019,212000,400,11.2,2.72
Occ,Coal mining ,2019,212100,100,17.7,8.19
Occ,Nonmetallic mineral mining and quarrying,2019,212300,200,8.3,1.89
Occ,Support activities for mining,2019,213000,"1,100",14.9,2.22
Ind,Construction,2019,23,"21,700",9.7,0.2
,"Trade, transportation, and utilities",2019,"42, 44, 45, 48, 49, 22","51,200",5.5,0.06
Ind,Wholesale trade,2019,42,"7,200",4.9,0.17
,"Merchant wholesalers, durable goods",2019,423000,"3,400",5.5,0.25
Occ,"Machinery, equipment, and supplies merchant wholesalers     ",2019,423800,700,5.5,0.62
Occ,Recyclable material merchant wholesalers,2019,423930,200,15.6,3.23
,"Merchant wholesalers, nondurable goods",2019,424000,"3,500",4.6,0.23
Occ,Grocery and related products merchant wholesalers ,2019,424400,"1,700",3.5,0.27
Ind,Retail trade,2019,"44, 45","28,600",2,0.03
,Motor vehicle and parts dealers,2019,441000,"4,100",2.9,0.14
Occ,Automobile dealers ,2019,441100,"2,700",1.8,0.11
Occ,"Automotive parts, accessories, and tire stores  ",2019,441300,"1,100",4.3,0.39
Occ,Building material and garden equipment and supplies dealers,2019,444000,"2,900",1.9,0.11
,Food and beverage stores,2019,445000,"5,100",2.1,0.08
Occ,Grocery stores ,2019,445100,"4,400",1.8,0.08
Occ,Gasoline stations ,2019,447000,"1,000",10.5,0.95
Occ,Miscellaneous store retailers,2019,453000,"1,800",3.5,0.22
Occ,Nonstore retailers,2019,454000,"1,700",1.7,0.13
Ind,Transportation and warehousing     ,2019,"48, 49","13,100",13.9,0.41
Occ,Air transportation ,2019,481000,"1,200",5.4,0.52
Occ,Water transportation ,2019,483000,200,16.7,4.11
Occ,Truck transportation ,2019,484000,"4,500",27.2,1.3
,Transit and ground passenger transportation,2019,485000,"1,800",6.5,0.5
Occ,Bus service and urban transit ,2019,485000 except 485300,600,5.4,0.71
Occ,Taxi and limousine service ,2019,485300,"1,300",6.9,0.6
Occ,Couriers and messengers,2019,492000,"1,700",5.3,0.35
Occ,Warehousing and storage ,2019,493000,"1,500",3.1,0.27
Ind,Utilities,2019,22,"2,300",2,0.13
Ind,Financial activities,2019,"52, 53","20,700",1,0.02
Occ,Finance and insurance,2019,52,"14,700",0.3,0.01
,Real estate and rental and leasing,2019,53,"6,000",2.9,0.11
Occ,Real estate ,2019,531000,"5,200",2.3,0.1
Occ,Rental and leasing services,2019,532000,700,7,0.8
Ind,"Professional, scientific, and technical services",2019,54,"24,800",0.7,0.01
Occ,"Architectural, engineering, and related services ",2019,541300,"3,600",1.9,0.1
Ind,"Management, administrative, and waste services",2019,"55, 56",-,-,-
Occ,Employment services ,2019,561300,"1,600",8.1,0.58
Occ,Investigation and security services ,2019,561600,"1,500",5.5,0.37
Occ,Waste management and remediation services ,2019,562000,900,15.1,1.37
Ind,Educational and health services,2019,"61, 62","45,800",0.8,0.01
Occ,Educational services,2019,61,"8,800",1,0.03
,Health care and social assistance,2019,62,"37,000",0.8,0.01
Occ,Nursing and residential care facilities,2019,623000,"4,700",1.3,0.05
Ind,Leisure and hospitality,2019,"71, 72","23,700",2.2,0.04
,"Arts, entertainment, and recreation",2019,71,"5,100",3.1,0.12
Occ,"Performing arts, spectator sports, and related industries",2019,711000,"1,600",4.4,0.31
,Accommodation and food services,2019,72,"18,600",2,0.05
,Accommodation ,2019,721000,"2,700",2.7,0.16
Occ,Traveler accommodation ,2019,721100,"2,500",2.6,0.16
,Food services and drinking places,2019,722000,"15,900",1.9,0.04
Occ,Restaurants and other food services ,2019,"722000, except 722400","15,500",1.7,0.04
Occ,Drinking places (alcoholic beverages),2019,722400,400,8.5,1.33
Ind,"Other services, except public administration",2019,81,"13,400",3,0.08
,Repair and maintenance,2019,811000,"4,100",6.8,0.31
Occ,Automotive repair and maintenance (except car washes),2019,"811100, except 811192","2,500",7.5,0.45
Occ,Personal and laundry services,2019,812000,"4,600",1.9,0.08
Occ,"Religious, grantmaking, civic, professional, and similar organizations",2019,813000,"3,600",1,0.05
Ind,Government,2019,,"39,200",1.8,0.03
Occ,Federal government,2019,,"7,500",1.2,0.05
Occ,State government,2019,,"12,800",1.1,0.03
Occ,Local government,2019,,"18,900",2.4,0.05
