Label,Characteristic,Year,total_fatal_injuries,total_hours_worked,fatal_injury_rate,margin_of_error
Occ,Logging workers,2016,91,131,135.9,32.2
,Construction and extraction occupations,2016,970,"15,441",12.4,0.3
Occ,First-line supervisors of construction trades and extraction workers,2016,134,"1,478",18,1.2
Occ,Carpenters,2016,99,"2,568",7.6,0.4
Occ,Construction laborers,2016,254,"3,347",15.1,0.6
Occ,Operating engineers and other construction equipment operators,2016,39,734,10.6,1
Occ,Electricians,2016,79,"1,578",10,0.7
Occ,"Painters, construction and maintenance",2016,50,"1,099",8.6,0.7
Occ,"Pipelayers, plumbers, pipefitters, and steamfitters",2016,24,"1,176",4.1,0.3
Occ,Roofers,2016,101,416,48.6,5.6
Occ,Structural iron and steel workers,2016,16,127,25.1,6.6
,"Installation, maintenance, and repair occupations",2016,470,"9,888",9.4,0.2
Occ,"First-line supervisors of mechanics, installers, and repairers",2016,44,562,15.7,1.7
Occ,Automotive service technicians and mechanics,2016,64,"1,780",7.2,0.4
Occ,Bus and truck mechanics and diesel engine specialists,2016,29,714,8.1,0.8
Occ,"Heating, air conditioning, and refrigeration mechanics and installers",2016,37,856,8.4,0.8
Occ,"Industrial machinery installation, repair, and maintenance workers",2016,45,966,9.3,0.8
Occ,"Maintenance and repair workers, general",2016,75,"1,092",13.4,1
Occ,Electrical power-line installers and repairers,2016,21,288,14.6,2.1
Occ,Telecommunications line installers and repairers,2016,21,346,12.1,1.6
Ind,"Production, transportation, and material moving occupations",2016,"1,604","34,632",9.2,0.1
,Production occupations,2016,216,"16,766",2.6,0.1
Occ,First-line supervisors of production and operating workers,2016,31,"1,641",3.8,0.2
Occ,"Welding, soldering, and brazing workers",2016,40,"1,254",6.4,0.5
,Transportation and material moving occupations,2016,"1,388","17,866",15.4,0.3
Occ,Aircraft pilots and flight engineers,2016,75,263,55.5,9.2
Occ,Driver/sales workers and truck drivers,2016,918,"7,431",24.7,0.8
Occ,Taxi drivers and chauffeurs,2016,60,896,13.2,1.2
Occ,Industrial truck and tractor operators,2016,37,"1,220",6.1,0.5
Occ,"Laborers and freight, stock, and material movers, hand",2016,92,"3,401",5.2,0.2
Occ,Refuse and recyclable material collectors,2016,31,182,34.1,6.8
, no data,2016, no data, no data, no data, no data
,Industry9,2016, no data, no data, no data, no data
,Private industry,2016,"4,693","245,136",3.8,0
,Goods producing,2016,"1,991","57,594",6.8,0.1
,Natural resources and mining,2016,682,"6,752",19.8,1.2
Ind,"Agriculture, forestry, fishing and hunting",2016,593,"4,983",23.2,1.5
Occ,Crop production  ,2016,261,"2,416",20.9,2
Occ,Animal production and aquaculture,2016,151,"1,892",15.4,1.4
Occ,Logging ,2016,105,208,100.1,21.7
Occ,"Fishing, hunting, and trapping ",2016,26,75,69.1,23.3
Occ,Support activities for agriculture and forestry ,2016,48,354,27.1,4.2
Ind,"Mining, quarrying, and oil and gas extraction",2016,89,"1,769",10.1,1.5
Occ,Mining (except oil and gas),2016,22,440,10,2.1
Occ,Support activities for mining,2016,56,"1,114",10.1,2.1
Ind,Construction,2016,991,"19,530",10.1,0.2
Ind,Manufacturing,2016,318,"31,312",2,0
Occ,Food manufacturing,2016,40,"3,506",2.3,0.1
Occ,Wood product manufacturing,2016,28,853,6.6,0.8
Occ,Chemical manufacturing,2016,15,"2,698",1.1,0.1
Occ,Plastics and rubber products manufacturing,2016,16,"1,145",2.8,0.2
,Nonmetallic mineral product manufacturing,2016,32,920,7,0.7
Occ,"Cement, concrete, lime, and gypsum product manufacturing ",2016,24,317,15.1,2.2
Occ,Primary metal manufacturing,2016,25,959,5.2,0.5
Occ,Fabricated metal product manufacturing,2016,41,"2,418",3.4,0.2
Occ,Machinery manufacturing,2016,24,"2,484",1.9,0.1
Occ,Transportation equipment manufacturing,2016,29,"4,990",1.2,0.1
,Service providing,2016,"2,702","187,542",2.8,0
,"Trade, transportation, and utilities",2016,"1,316","50,093",5.2,0.1
Ind,Wholesale trade,2016,179,"7,425",4.8,0.2
,"Merchant wholesalers, durable goods",2016,91,"3,501",5.2,0.2
Occ,"Machinery, equipment, and supplies, merchant wholesalers     ",2016,26,765,6.8,0.7
Occ,Recyclable material merchant wholesalers,2016,17,170,20,4.4
,"Merchant wholesalers, nondurable goods",2016,86,"3,650",4.7,0.2
Occ,"Groceries and related products, merchant wholesalers ",2016,30,"1,642",3.7,0.3
Ind,Retail trade,2016,282,"29,037",1.9,0
,Motor vehicle and parts dealers,2016,42,"4,316",1.9,0.1
Occ,Automobile dealers ,2016,21,"2,942",1.4,0.1
Occ,"Auto parts, accessories, and tire stores  ",2016,15,"1,039",2.9,0.2
Occ,Building material and garden equipment and supplies dealers,2016,19,"2,708",1.4,0.1
,Food and beverage stores,2016,71,"5,147",2.7,0.1
Occ,Grocery stores ,2016,59,"4,474",2.6,0.1
Occ,Gasoline stations ,2016,44,941,9.4,0.7
Occ,Miscellaneous store retailers,2016,21,"1,877",2.2,0.1
Occ,Non-store retailers,2016,15,"1,276",2.4,0.2
Ind,Transportation and warehousing     ,2016,825,"11,510",14.3,0.4
Occ,Air transportation ,2016,22,"1,031",4.3,0.4
Occ,Truck transportation ,2016,570,"4,442",25.6,1
,Transit and ground passenger transportation,2016,71,"1,381",10.3,0.7
Occ,Bus service and urban transit ,2016,21,610,6.9,0.7
Occ,Taxi and limousine service ,2016,50,771,13,1.2
Occ,Support activities for transportation ,2016,73,"1,333",11,0.8
Occ,Couriers and messengers,2016,30,"1,462",4.1,0.2
Occ,Warehousing and storage,2016,16,"1,111",2.9,0.2
Ind,Utilities,2016,30,"2,121",2.8,0.2
Ind,Information ,2016,46,"5,323",1.7,0.1
Ind,Financial activities,2016,117,"19,822",1.2,0
Occ,Finance and insurance,2016,26,"14,109",0.4,0
,Real estate and rental and leasing,2016,91,"5,713",3.2,0.1
Occ,Real estate ,2016,64,"4,938",2.6,0.1
Occ,Rental and leasing services,2016,26,776,6.7,0.6
Ind,Professional and business services,2016,540,"34,110",3.1,0
,"Professional, scientific, and technical services",2016,100,"21,525",0.9,0
Occ,"Architectural, engineering, and related services ",2016,43,"3,188",2.7,0.1
,"Management, administrative, and waste services",2016,440,"12,586",6.9,0.2
Occ,Employment services ,2016,51,"1,812",5.6,0.3
Occ,Investigation and security services ,2016,43,"1,549",5.4,0.4
Occ,Services to buildings and dwellings (except landscaping services) ,2016,46,"2,634",3.5,0.2
Occ,Landscaping services,2016,208,"2,516",16.5,1
Occ,Waste management and remediation services ,2016,67,"1,041",12.7,1.2
Ind,Educational and health services,2016,159,"42,451",0.7,0
Occ,Educational services,2016,42,"7,932",1,0
,Health care and social assistance,2016,117,"34,519",0.7,0
Occ,Ambulatory health care services,2016,56,"13,280",0.8,0
Occ,Nursing and residential care facilities,2016,29,"4,547",1.3,0.1
Occ,Social assistance,2016,17,"4,867",0.7,0
Ind,Leisure and hospitality,2016,298,"22,866",2.6,0
,"Arts, entertainment, and recreation",2016,96,"4,774",3.9,0.2
Occ,"Performing arts, spectator sports, and related industries",2016,53,"1,381",7.2,0.6
Occ,"Amusement, gambling, and recreation industries (except bowling centers)  ",2016,38,"3,066",2.5,0.1
,Accommodation and food services,2016,202,"18,091",2.2,0
,Accommodation ,2016,37,"2,905",2.5,0.1
Occ,Traveler accommodation ,2016,30,"2,737",2.2,0.1
,Food services and drinking places,2016,165,"15,186",2.1,0
Occ,Restaurants and other food services ,2016,142,"14,803",1.9,0
Occ,Drinking places (alcoholic beverages),2016,23,383,12,1.7
Ind,Other services (except public administration),2016,223,"12,877",3.2,0.1
,Repair and maintenance,2016,146,"3,988",7.3,0.3
Occ,Automotive repair and maintenance (except car washes),2016,95,"2,420",7.9,0.4
Occ,Personal and laundry services,2016,33,"4,194",1.6,0.1
Occ,"Religious, grantmaking, civic, professional, and similar organizations",2016,44,"3,675",1.6,0.1
Ind,Government,2016,497,"37,965",2.2,0
Occ,Federal government,2016,107,"7,101",1.2,0
Occ,State government,2016,97,"12,763",1.5,0
Occ,Local government,2016,291,"18,101",3,0.1
, no data,,,,,
